id,date,tweet,retweets_count
1344431106700021761,2020-12-31,Taiwan Semiconductor vs. Nvidia: The traders compare the chip trades and determine which stock is the best move. $TSM $NVDA  https://t.co/KV1lTlKdES,3
1344427693769572354,2020-12-31,"#NASDAQ 100 #NASDAQ100 (Dec 30), Top 10 #StockMarket Buy Flow #Stocks Animated $TSLA $AMGN $NVDA #Tesla, #Amgen #Nvidia  https://t.co/o1LCeh7iT8",0
1344427680922390528,2020-12-31,"#NASDAQ 100 #NASDAQ100 (Dec 30), Top 10 #StockMarket Buy Flow #Stocks Animated $TSLA $AMGN $NVDA #Tesla, #Amgen #Nvidia  https://t.co/Ar82VrDguV",0
1344427668003930112,2020-12-31,"#NASDAQ 100 #NASDAQ100 (Dec 30), Top 10 #StockMarket Buy Flow #Stocks Animated $TSLA $AMGN $NVDA #Tesla, #Amgen #Nvidia  https://t.co/Ia4LovVUW3",0
1344427656050196480,2020-12-31,"#NASDAQ 100 #NASDAQ100 (Dec 30), Top 10 #StockMarket Buy Flow #Stocks Animated $TSLA $AMGN $NVDA #Tesla, #Amgen #Nvidia  https://t.co/YDCIAPwD8e",0
1344427642842304512,2020-12-31,"#NASDAQ 100 #NASDAQ100 (Dec 30), Top 10 #StockMarket Buy Flow #Stocks Animated $TSLA $AMGN $NVDA #Tesla, #Amgen #Nvidia  https://t.co/GfOSOR6xoV",0
1344407234038489088,2020-12-31,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares ⬆️1.6% to $526 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/B7BWRcVOEf  https://t.co/n9UccTFeEU,0
1344402872083963906,2020-12-31,"#NVIDIA $NVDA Has A Good #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing  https://t.co/B7BWRcVOEf  https://t.co/t8ZjWf8ZxY",0
1344400795370803200,2020-12-31,"$NVDA #NVIDIA #Options #maxpain Chart, Open Interest Chart Update #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #UOA  https://t.co/Gr3YvQQ4OY  https://t.co/UwgNfdH772",0
1344388610485841925,2020-12-31,"Hedge fund manager Dan Niles recently announced his top 5 picks for 2021  1 JPMorgan $JPM 2 Energy Sector ETF $XLE 3 Oracle $ORCL 4 Magna $MGA 5 $GAN  Photo is their 2020 picks 👇👇 $AMD, Disney $DIS, Facebook $FB, Lumentum $LITE, Nvidia $NVDA (Source  https://t.co/isqTAT0Cet)  https://t.co/lLZBoRty4v",3
1344381627460272128,2020-12-31,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares Up 1.81% to $527.09 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/IWZSYMAia0  https://t.co/D5xKfFyHzs,0
1344381620732579841,2020-12-31,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares Up 1.81% to $527.09 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/Gr3YvQQ4OY  https://t.co/5ZRik4EgE0,0
1344381613841338368,2020-12-31,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares Up 1.81% to $527.09 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/I8hjTlEqg3  https://t.co/fHcfmccsBH,1
1344367029592215552,2020-12-31,Señor @HyenukChu mirar nvidia $nvda. Gracias  https://t.co/hxQq22IKiT,0
1344362629171728391,2020-12-31,$NVDA We have detected a noticeable fall in the Zeitgeist for NVIDIA Corp at   https://t.co/RYtVH6l9Zz Visit DataSwarm Markets for more information #trading #NASDAQ DataSwarm ref: 116149,0
1344339898392858634,2020-12-31,"Zacks Adjusts NVIDIA's Price Target to $593 from $609, Keeps Outperform Rating  $NVDA",0
1344336248459022336,2020-12-31,Optimus v4 2020-12-30 12:35 ET. *Closed/Sold: $NVDA at $521.66 for 6.12 profit (1.19%). NVIDIA Corp (CORP). Trade Id: 62954099903013265. Stats:  https://t.co/oAX4hq6SAg,0
1344334941044301825,2020-12-31,NVIDIA | $NVDA  NVDA  Long or short it with BTC on Trade8:  https://t.co/jVybFjcWSw  https://t.co/evZgeYwGWv,0
1344322370123816960,2020-12-31,Stocks ready for growth in 2021. Shopify. $SHOP. SERVICENOW $NOW. TESLA $TSLA.  DIEBOLD-Nixdorf $DBD.   REDFIN. $RDFN.  APACHE Corp $APA.  NVIDIA. $NVDA.  @SquawkCNBC  @FT   @FoxBusiness   @NYSE  @WSJ    @realDonaldTrump  @SenateGOP,0
1344318873424830464,2020-12-31,NVIDIA (NVDA) 2021 Outlook https://www.trademoneta.com/nvidia-nvda-2021-outlook/  https://t.co/JmwOR6GAkt,0
1344317081844469762,2020-12-31,NVIDIA (NVDA) 2021 Outlook  https://t.co/01CxBgN3lh,0
1344315265492934656,2020-12-31,"$NVDA 11:03 AM EST, 12/30/2020 (MT Newswires) -- NVIDIA (NVDA) Pt adjustment to 593 from 609.",0
1344309889657663491,2020-12-31,ROCE Insights For NVIDIA $NVDA  https://t.co/DvSycptth0,0
1344309673177063428,2020-12-31,ROCE Insights For NVIDIA  Related Tickers: $NVDA Read more at:  https://t.co/v65dcd6GT7,0
1344307287582597121,2020-12-31,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares 🔻0.23% to $516.54 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/B7BWRcVOEf  https://t.co/ivQzHmntHl  https://t.co/NE0XCFqgK5,0
1344303694553231360,2020-12-31,"Don't tell $NVDA bulls that the market is overheated...  With $AMD $QQQ &amp; $AAPL already above the exact same 9/2 high, there is plenty of evidence Nvidia is a sleeping giant quietly consolidating into a bull-flag before its breakout.  if $NVDA is above 492 target 688 in 4-5 Weeks  https://t.co/xqzDzP9HIA",34
1344299832773513216,2020-12-31,My Latest:  #NVIDIA $NVDA 2021 Outlook  https://t.co/pBwJ37sOl0 via @investopedia,0
1344299271110144002,2020-12-31,NVIDIA (NVDA) 2021 Outlook  https://t.co/HUzc5VGeN4 #Analysis #investment  https://t.co/eHHMqZY6aR,0
1344298527934062592,2020-12-31,▶︎ NVIDIA (NVDA) 2021 Outlook  https://t.co/1dTfD8ecX5 VIΛ WICҚƸ︎Đ✧ȘPĿIҬŚ FINΛNCIΛL REΛDS,0
1344297541664272384,2020-12-31,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares 🔻0.1% to $517 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/B7BWRcVOEf  https://t.co/q3F1TnIVmS  https://t.co/4seoEY6hYD,0
1344192250310488064,2020-12-30,"NVIDIA | $NVDA  $NVDA Liking Nvidia Right Here, Right at 100 EMA.  Long or short it with BTC on Trade8:  https://t.co/jVybFjcWSw  https://t.co/QpgY3K15B1",0
1344178290496577538,2020-12-30,NVIDIA's Rally May Continue Next Year: Here's Why $MU $NVDA $QRVO $TTD  https://t.co/7P99Kt3eHG,0
1344171075064631299,2020-12-30,"$INTC $NVDA Intel, Nvidia chip rival Graphcore raises $222M at $2.8B valuation for AI chip push  https://t.co/PH9y9XVBhN",0
1344112424845193216,2020-12-30,"Retweet selected by the  https://t.co/11ojAZA3Wf team |  NVIDIA Co. to Post Q3 2021 Earnings of $1.76 Per Share, Truist Securiti Forecasts (NASDAQ:NVDA) #forecasting  https://t.co/f1jDwtBaEd  https://t.co/JCd3yLXexs",0
1344045445211779075,2020-12-30,#Options Flow Grid Update $NVDA #OptionsTrading #Nvidia Shares ⬆️0.35% to $517.8 #OptionsFlow #optiontrading #stocks #stock #StockMarket #investing #Investment #technology #semiconductor  https://t.co/B7BWRcVOEf  https://t.co/zV2xL1DePu,0
1344040695657504768,2020-12-30,"#NVIDIA $NVDA Has A Good #Fundamental Analysis Score (FA Score). Check various FA Indicators' value, score, 5-year chart like P/E, P/B, P/S, D/E, ROE, ROA, ROIC, Gross Margin, EBITDA, etc #stocks #stock #StockMarket #Investment #investing  https://t.co/5JE2nlrW3B  https://t.co/DdDgo20hoU",0
